Epoch,Train_Dice_Loss,Val_Dice_Loss
1,0.3585945137303238,0.500182833980749
2,0.18817609225469115,0.41594458800373657
3,0.14348667380204091,0.34918223993450986
4,0.12152944061555523,0.3175969026358582
5,0.1059957855534785,0.33926349416136103
6,0.09860647947174832,0.3152031456776056
7,0.09217745567216842,0.2863344036427836
8,0.09125194826365289,0.23588267383090952
9,0.08698115167494345,0.3333231896533898
10,0.08237504522680851,0.2414388341593445
11,0.07629757466150333,0.2266967292881692
12,0.07996188193366752,0.2371205867877406
13,0.07541745766081084,0.22898201732074513
14,0.07752103541757682,0.2399988764110096
15,0.07403827159632372,0.27195958408017423
16,0.06921624901032371,0.23497122122429698
17,0.06909740067608534,0.2672558434028676
18,0.07268470721048059,0.29023784223724813
19,0.06804173133519861,0.22002775765251562
20,0.06658923753739175,0.21227015082105172
21,0.06424036007193686,0.2228928096260404
22,0.06859530609788246,0.24163724960171604
23,0.06330867401025828,0.2608671504970965
24,0.062248060714851304,0.23597312289657016
25,0.06139270023331287,0.1987342327673805
26,0.06646786931552548,0.2527673350989075
27,0.059925452284635465,0.21242706836226152
28,0.05893502220463213,0.22404937345182618
29,0.06061680272559132,0.22491225706489754
30,0.059300644763272174,0.19372943458072642
31,0.05557714841512414,0.1986842403012376
32,0.05621417281504202,0.2148612539239108
33,0.0568297306937693,0.33910205503411045
34,0.05742093814615293,0.23727715817577275
35,0.05235303940800016,0.22347845856943657
36,0.05208441718785894,0.22001919572684855
37,0.052450522394627816,0.2180979854814084
38,0.05011706919828279,0.2467595716795607
39,0.05056068236098706,0.20862307546929243
40,0.047670138644169066,0.23433573602461347
41,0.050022749622084174,0.22176846516536095
42,0.050575165469862494,0.21737234929241173
43,0.04780493030463222,0.21265194202489393
44,0.04393762145131151,0.2146661230055831
45,0.0439717335608399,0.22221431492059202
46,0.04485134790051717,0.22453335036462216
47,0.043325101142948116,0.22587270035994456
48,0.04616535766032136,0.21603932307365745
49,0.03971305086871181,0.21037872757184953
50,0.038855755984976065,0.22157019161604305
51,0.039442114917784446,0.21013741455507362
52,0.03943681323894791,0.22576951319202382
53,0.037616936785310605,0.249513040172225
54,0.03763880551729387,0.21621085642280852
55,0.036875964537214694,0.2235525109126181
56,0.03599371802073852,0.21127036880575611
57,0.03664205869521138,0.20566954624419118
58,0.03523090139368977,0.21518156235230798
59,0.0330919857742717,0.20753292078002888
60,0.03379238285968219,0.20211918176601704
61,0.03343882729995598,0.21990595008918945
62,0.031901098884232225,0.21804328114059945
63,0.03128625686404003,0.21170465332089047
64,0.032670533700475415,0.2268909487919799
65,0.031211020274262598,0.20001863445190185
66,0.031501534253262395,0.19773717596462917
67,0.03001643919829026,0.20201293056342692
68,0.028671018875725447,0.20724165001336267
69,0.02872442157523146,0.20538754909965018
70,0.02894850610529335,0.19962422058331564
71,0.03161037247929373,0.197352183507938
72,0.028301896521381577,0.2298725205415498
73,0.027576764255858546,0.19789808162499664
74,0.026959857677371756,0.20475441352887588
75,0.02661487428790929,0.22437594854895443
76,0.02558004545065963,0.20475975563500654
77,0.02702414135909775,0.21748176554413828
78,0.02582184208442478,0.20043793302062574
79,0.025216595061774393,0.21427918585438993
80,0.025146878990540612,0.2011473345937151
81,0.027682665892210592,0.2101908561220781
82,0.023874689122619752,0.1988994075971491
83,0.023332037947903173,0.20520147357182494
84,0.02833118359633634,0.2065973579086722
85,0.023589274378849077,0.21083146099950753
86,0.02239701036110665,0.20286090653422895
87,0.02180361453576381,0.18804311534512702
88,0.02289881373975655,0.20606733308756414
89,0.022817502901392075,0.20589489515027473
90,0.023025663539429697,0.21955792722748776
91,0.023398555935779435,0.20826838443092272
92,0.021044246948845564,0.2080785829221926
93,0.021223309525201236,0.2063411614739746
94,0.020717007153242536,0.21409284245096638
95,0.023497618276710264,0.1943884045948107
96,0.020772895790805324,0.2172911841548488
97,0.020189931236424492,0.2077089336679156
98,0.020178615612891113,0.20695677715720553
99,0.020958009251305972,0.19855345214539458
100,0.020380637647650388,0.20697527818395067
